FID,FID_Alabam,MatchType,NumMatch,PrecinctNu,Precinct,Address,City,Zip,County,State,FLD_ZONE,ZONE_SUBTY,x,y
1020,398,ExactMatch,Exact,12A,ONEONTA FRANK GREEN BLDG.,415 5TH  AVE EAST,ONEONTA,35121,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4757124119176,33.9493380672511
1021,399,ExactMatch,Exact,12B,"ONEONTA, PRECINCT 2201",415 5TH AVE EAST,ONEONTA,35121,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4757124119176,33.9493380672511
1022,400,ExactMatch,Exact,12C,"ONEONTA, PRECINCT 2201, R-Z",415 5TH AVE EAST,ONEONTA,35121,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4757124119176,33.9493380672511
1023,993,WeakName,Exact,7,BRANCHVILLE PRESBYTERIAN CHURCH,80 HURST STREET,ODENVILLE,35120,St Clair,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3359506227504,33.9594165448145
1024,395,ExactMatch,Approx,11,NECTAR COMMUNITY CENTER,14795 STATE HWY 160,HAYDEN,35079,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6453048607596,33.9616063931771
1025,396,ExactMatch,Exact,11A,NECTAR TOWN HALL/COMMUNITY CENTER,14795 STATE HWY 160,CLEVELAND,35049,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6278157961116,33.9671728050254
1026,401,ExactMatch,Exact,16,ROSA,35 WATERTON DR,ONEONTA,35121,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5075243329368,33.9845064033606
1027,402,ExactMatch,Exact,16A,ROSA TOWN HALL,35 WATERTON DR, ONEONTA,35121,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5075243329368,33.9845064033606
1028,403,ExactMatch,Exact,16B,ROSA TOWN HALL #2,35 WATERTON DR,ONEONTA,35121,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5075243329368,33.9845064033606
1029,389,ExactMatch,Exact,5,"CLEVELAND, PRECINCT 16",517 PARK ROAD,CLEVELAND,35049,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5752160229468,33.9984064036108
1030,390,ExactMatch,Exact,5A,"CLEVELAND, PRECINCT 1601",517 PARK ROAD,CLEVELAND,35049,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5752160229468,33.9984064036108
1031,695,ExactMatch,Exact,20,ALTOONA FIRE DEPT,3680 Main Street,Altoona,0,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3115402299175,34.0325017710651
1032,694,ExactMatch,Approx,19,WALNUT GROVE VOLUNTEER FIRE DEPT,3991 Gadsden Blountsville Rd,Walnut Grove,35990,Etowah,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3062047702856,34.0659064282593
1033,404,ExactMatch,Exact,17,ROYAL A - Z,156 TIMMERMAN RD,BLOUNTSVILLE,35031,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5009627758779,34.0693998813456
1034,405,ExactMatch,Exact,17A,ROYAL A - Z #2,156 TIMMERMAN RD,BLOUNTSVILLE,35031,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5009627758779,34.0693998813456
1035,385,ExactMatch,Exact,3,"BLOUNTSVILLE,  TOWN HALL",10017 LEE STREET W,BLOUNTSVILLE,35031,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5925337425916,34.0817064203065
1036,386,ExactMatch,Exact,3B,"BLOUNTSVILLE, A-Z, TOWN HALL",10017 LEE STREET W,BLOUNTSVILLE,35031,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5925337425916,34.0817064203065
1037,387,ExactMatch,Exact,3C,"BLOUNTSVILLE, TOWN HALL",10017 LEE STREET W,BLOUNTSVILLE,35031,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5925337425916,34.0817064203065
1038,412,ExactMatch,Exact,23,SUSAN MOORE,39989 STATE HWY 75,ALTOONA,35952,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4198123235383,34.0822817472236
1039,413,ExactMatch,Exact,23A,SUSAN MOORE TOWN HALL,39989 ST HWY 75,ALTOONA,35952,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4198123235383,34.0822817472236
1040,407,ExactMatch,Exact,19,SNEAD  COMMUNITY CENTER,235 PARK CIRCLE,ALTOONA,35952,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3880142962836,34.1138063050532
1041,408,ExactMatch,Exact,19A,SNEAD COMMUNITY  CENTER,235 PARK CIRCLE,SNEAD,35952,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3880142962836,34.1138063050532
1042,910,ExactMatch,Exact,11,Friendship / Mt. Hebron VFD,3038 Mt Hebron Rd,Boaz,35957,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2836652983013,34.1440934954771
1043,388,ExactMatch,Exact,4,"BROOKSVILLE, PRECINCT 1001 COMMUNITY CENTER/FIRE",81390 US HWY 278,BLOUNTSVILLE,35031,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4760556340557,34.1617064415705
1044,661,DirectionSuffixRemoved,Exact, ,Holly Pond Fire Dept,10915 Hwy 278 East,Holly Pond,35083,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6133574737857,34.1741064387205
1045,645,ExactMatch,Exact, ,Brooklyn Community Center,954 Brooklyn Rd,Holly Pond,35083,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6136460446589,34.1878946815763
1046,911,ExactMatch,Exact,12,Friendship / Pine Grove School,375 Grimes Ln,Boaz,35957,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2752785885954,34.1912064556378
1047,921,ExactMatch,Exact,24,Reedbrake / Liberty Hill Church,626 Mt Sinai Rd,Horton,35980,Marshall,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3413462090271,34.2194650389223
1048,654,DirectionSuffixRemoved,Exact, ,Fairview Fire Dept (A-K),7555 AL Hwy 69 North,Cullman,35058,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6864285486733,34.245991240752
1049,655,DirectionSuffixRemoved,Exact, ,Fairview Fire Dept (Fairview Town Hall),7525 AL Hwy 69 North,Cullman,35058,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6870996588647,34.2460064507284
1050,656,DirectionSuffixRemoved,Exact, ,Fairview Town Hall (L-Z),7525 AL Hwy 69 North,Cullman,35058,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6870996588647,34.2460064507284
